link,image,name,price,original_price,promo,sales,rating,seller,location
https://www.tokopedia.com/insrgt-club/insurgent-club-work-jacket-logo-black-jaket-pria-1729574098275763914?extParam=ivf%3Dfalse%26keyword%3Dwork+jacket%26search_id%3D2025091411251537BC2F75BF1BCF15FLTN%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/0668158471904e84a2e7f1f7ba55b615~.jpeg.webp?ect=4g,Insurgent Club - Work Jacket Logo Black Jaket Pria,Rp489.708,Rp549.000,11%,100+ terjual,4.9,INSRGT CLUB,Bandung
https://www.tokopedia.com/bitsnbobs76/bitsnbobs76-work-jacket-black-eyes-workjacket-hitam-1729652134100502294?extParam=ivf%3Dfalse%26keyword%3Dwork+jacket%26search_id%3D2025091411251537BC2F75BF1BCF15FLTN%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/8c3e391a17db4b7bbe6476e893002ee7~.jpeg.webp?ect=4g,Bitsnbobs76 Work Jacket Black Eyes Workjacket Hitam,Rp229.000,Rp450.000,49%,10rb+ terjual,4.8,Bitsnbobs76,Bandung
https://www.tokopedia.com/gosterindustries/goster-work-jacket-boxy-fit-michigan-beige-brown-zipper-pria-jaket-1729601502856709966?extParam=ivf%3Dfalse%26keyword%3Dwork+jacket%26search_id%3D2025091411251537BC2F75BF1BCF15FLTN%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/f208d0ededf8491a89b1ba1b737b59a4~.jpeg.webp?ect=4g,Goster Work Jacket Boxy Fit - Michigan Beige Brown Zipper Pria Jaket,Rp395.500,Rp480.000,18%,100+ terjual,5.0,goster.industries,Bandung
https://www.tokopedia.com/shiningbright/shining-bright-light-corduroy-work-jacket-black-jaket-outer-boxy-fit-1730961811226199943?extParam=ivf%3Dfalse%26keyword%3Dwork+jacket%26search_id%3D2025091411251537BC2F75BF1BCF15FLTN%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/o3syd0/1997/1/1/29a73e4e90d341fd963326d39f0247dd~.jpeg.webp?ect=4g,Shining Bright Light Corduroy Work Jacket - Black Jaket Outer Boxy Fit,Rp254.678,Rp450.000,43%,2rb+ terjual,4.8,SHINING BRIGHT_NEW,Depok
https://www.tokopedia.com/gosterindustries/goster-work-jacket-boxy-fit-corduroy-vermont-denim-blue-1729733321149810510?extParam=ivf%3Dfalse%26keyword%3Dwork+jacket%26search_id%3D2025091411251537BC2F75BF1BCF15FLTN%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/c868e2e2d6274acca5b430de31a37e3d~.jpeg.webp?ect=4g,Goster Work Jacket Boxy Fit Corduroy - Vermont Denim Blue,Rp460.000,Rp800.000,43%,100+ terjual,4.9,goster.industries,Bandung
https://www.tokopedia.com/hanoonindustries/hanoon-work-jacket-boxy-brown-fuelo-script-boxy-work-jaket-vintage-brown-s-e2a0e?extParam=ivf%3Dtrue%26keyword%3Dwork+jacket%26search_id%3D2025091411251537BC2F75BF1BCF15FLTN%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/9d9dde8fc8b644979ff96553f2a67cf1~.jpeg.webp?ect=4g,Hanoon Industries – Work Jacket Boxy Fit Brown Fuelo Script,Rp431.100,Rp479.000,10%,500+ terjual,5.0,Hanoon Industries,Kab. Garut
https://www.tokopedia.com/dobujack/dobujack-work-jacket-roddick-black-1729847590716214153?extParam=ivf%3Dfalse%26keyword%3Dwork+jacket%26search_id%3D2025091411251537BC2F75BF1BCF15FLTN%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/o3syd0/1997/1/1/89bc75b6f91844e19707d5cbefd3c79a~.jpeg.webp?ect=4g,Dobujack Work Jacket Roddick Black,Rp206.000,Rp540.000,62%,10rb+ terjual,4.8,Dobujack,Bandung
https://www.tokopedia.com/confuciuss/confucius-boxy-work-jacket-polos-boxy-work-jacket-jaket-pria-wanita-unisex-1731457758020076553?extParam=ivf%3Dfalse%26keyword%3Dwork+jacket%26search_id%3D2025091411251537BC2F75BF1BCF15FLTN%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/4edcf82c49f74cb4947371f61c2bf9eb~.jpeg.webp?ect=4g,confucius Boxy Work Jacket Polos Boxy Work Jacket // jaket pria Wanita Unisex,Rp140.000,Rp200.000,30%,40+ terjual,5.0,confuciuss,Kab. Bandung
https://www.tokopedia.com/eternalworks/eternalworks-tac-black-work-jacket-bomber-jacket-1730456537360991626?extParam=ivf%3Dfalse%26keyword%3Dwork+jacket%26search_id%3D2025091411251537BC2F75BF1BCF15FLTN%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/a5c085ddeb98405f9d667bc9991a95fc~.jpeg.webp?ect=4g,ETERNALWORKS TAC BLACK WORK JACKET - BOMBER JACKET,Rp299.400,Rp499.000,40%,250+ terjual,4.9,Eternalworks,Kab. Bandung
https://www.tokopedia.com/miscastco-763/miscast-boxy-vintage-work-jacket-vintage-bucky-corduroy-olive-fit-pria-jaket-winter-1731179112951481374?extParam=ivf%3Dfalse%26keyword%3Dwork+jacket%26search_id%3D2025091411251537BC2F75BF1BCF15FLTN%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/c2aedccac1da432bb4755148bb68a015~.jpeg.webp?ect=4g,Miscast Boxy Vintage Work Jacket Vintage Bucky Corduroy Olive Fit Pria jaket winter,Rp291.500,Rp500.000,42%,500+ terjual,4.8,Miscastco_NEW,Tangerang
